asset,free,locked
BTC,0.000000,0.000000
LTC,0.000000,0.000000
ETH,0.000000,0.000000
NEO,0.000000,0.000000
BNB,0.000000,0.000000
QTUM,0.000000,0.000000
EOS,0.000000,0.000000
SNT,0.000000,0.000000
BNT,0.000000,0.000000
GAS,0.000000,0.000000
BCC,0.000000,0.000000
USDT,0.526600,0.000000
HSR,0.000000,0.000000
OAX,0.000000,0.000000
DNT,0.000000,0.000000
MCO,0.000000,0.000000
ICN,0.000000,0.000000
ZRX,0.000000,0.000000
OMG,0.000000,0.000000
WTC,0.000000,0.000000
YOYO,0.000000,0.000000
LRC,0.000000,0.000000
TRX,0.000000,0.000000
SNGLS,0.000000,0.000000
STRAT,0.000000,0.000000
BQX,0.000000,0.000000
FUN,0.000000,0.000000
KNC,0.000000,0.000000
CDT,0.000000,0.000000
XVG,0.000000,0.000000
IOTA,0.000000,0.000000
SNM,0.000000,0.000000
LINK,0.000000,0.000000
CVC,0.000000,0.000000
TNT,0.000000,0.000000
REP,0.000000,0.000000
MDA,0.000000,0.000000
MTL,0.000000,0.000000
SALT,0.000000,0.000000
NULS,0.000000,0.000000
SUB,0.000000,0.000000
STX,0.000000,0.000000
MTH,0.000000,0.000000
ADX,0.000000,0.000000
ETC,0.000000,0.000000
ENG,0.000000,0.000000
ZEC,0.000000,0.000000
AST,0.000000,0.000000
GNT,0.000000,0.000000
DGD,0.000000,0.000000
BAT,0.000000,0.000000
DASH,0.000000,0.000000
POWR,0.000000,0.000000
BTG,0.000000,0.000000
REQ,0.000000,0.000000
XMR,0.000000,0.000000
EVX,0.000000,0.000000
VIB,0.000000,0.000000
ENJ,0.000000,0.000000
VEN,0.000000,0.000000
ARK,0.000000,0.000000
XRP,0.000000,0.000000
MOD,0.000000,0.000000
STORJ,0.000000,0.000000
KMD,0.000000,0.000000
RCN,0.000000,0.000000
EDO,0.000000,0.000000
DATA,0.000000,0.000000
DLT,0.000000,0.000000
MANA,0.000000,0.000000
PPT,0.000000,0.000000
RDN,0.000000,0.000000
GXS,0.000000,0.000000
AMB,0.000000,0.000000
ARN,0.000000,0.000000
BCPT,0.000000,0.000000
CND,0.000000,0.000000
GVT,0.000000,0.000000
POE,0.000000,0.000000
BTS,0.000000,0.000000
FUEL,0.000000,0.000000
XZC,0.000000,0.000000
QSP,0.000000,0.000000
